"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2019-01-01";"19-I";"102";"2019-01-01 05:42:00";"2019-01-01 06:54:00";"Malles - Mals";"";"";"";"Meran/o";"2";"Guasto veicoli viaggiatori";"+2 MAR (d)=103 (IN RELAZIONE AL GUASTO 103)";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"104";"2019-01-01 06:16:00";"2019-01-01 07:32:00";"Malles - Mals";"";"";"";"Meran/o";"";"Guasto veicoli viaggiatori";"+5 SEN (x)103 (IN RELAZIONE AL GUASTO 103))";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"103";"2019-01-01 06:38:00";"2019-01-01 07:54:00";"Meran/o";"";"";"";"Malles - Mals";"5";"Guasto veicoli viaggiatori";"+5 LENTA CORSA LUNGO LINEA PER PROBLEMI FRENATURA";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"105";"2019-01-01 07:16:00";"2019-01-01 08:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"Guasto veicoli viaggiatori";"+2 MAR (x)104 (IN RELAZIONE AL GUASTO 103)";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"106";"2019-01-01 07:20:00";"2019-01-01 08:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"107";"2019-01-01 08:16:00";"2019-01-01 09:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"108";"2019-01-01 08:20:00";"2019-01-01 09:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"109";"2019-01-01 09:16:00";"2019-01-01 10:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola (Var.)";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"110";"2019-01-01 09:20:00";"2019-01-01 10:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"111";"2019-01-01 10:16:00";"2019-01-01 11:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"112";"2019-01-01 10:20:00";"2019-01-01 11:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"113";"2019-01-01 11:16:00";"2019-01-01 12:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"114";"2019-01-01 11:20:00";"2019-01-01 12:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola (Var.)";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"115";"2019-01-01 12:16:00";"2019-01-01 13:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"116";"2019-01-01 12:20:00";"2019-01-01 13:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"117";"2019-01-01 13:16:00";"2019-01-01 14:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"118";"2019-01-01 13:20:00";"2019-01-01 14:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"119";"2019-01-01 14:16:00";"2019-01-01 15:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"120";"2019-01-01 14:20:00";"2019-01-01 15:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"121";"2019-01-01 15:16:00";"2019-01-01 16:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"122";"2019-01-01 15:20:00";"2019-01-01 16:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"123";"2019-01-01 16:16:00";"2019-01-01 17:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"124";"2019-01-01 16:20:00";"2019-01-01 17:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"125";"2019-01-01 17:16:00";"2019-01-01 18:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"126";"2019-01-01 17:20:00";"2019-01-01 18:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"127";"2019-01-01 18:16:00";"2019-01-01 19:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-01";"19-I";"128";"2019-01-01 18:20:00";"2019-01-01 19:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
