node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario;exclude_scenario
ME;Merano;both;0;31,483;LdS;1;1;0;301,5;11,149047;46,673091;base;
Dev_ME_01;Deviatoio Merano 01;;0,317;31,8;SC;0;0;0;302,79;11,144801;46,676356;base;
Pa_ME;Part. Merano;malles;0,572;32,055;signal_mainline;0;0;0;307,71;11,14407;46,676806;base;
SC_ME;SC LT ETCS Merano;merano;0,636;32,119;signal_mainline;0;0;0;308,94;11,143177;46,677071;base;
Pr_ME_LT;Prot. Merano LT ETCS;merano;0,766;32,249;signal_mainline;0;0;0;311,45;11,141548;46,677419;base;
Pr_E_LAG_01;Prot. Est. Lagundo 01;malles;1,247;32,73;signal_mainline;0;0;0;320,72;11,13551;46,678623;base;
Pa_LAG_31;Part. Lagundo 31;merano;1,402;32,885;signal_mainline;0;0;0;323,71;11,133563;46,678967;base;
LAG;Lagundo;;1,517;33;LdS;1;0;0;324;11,132069;46,678847;base;
Pa_LAG_32;Part. Lagundo 32;malles;1,592;33,075;signal_mainline;0;0;0;324;11,131204;46,678768;base;
Dev_LAG_02;Deviatoio Lagundo 02;;1,642;33,125;SC;0;0;0;324;11,130789;46,678696;base;
Pr_E_LAG_02;Prot. Est. Lagundo 02;merano;1,742;33,225;signal_mainline;0;0;0;326,69;11,129514;46,678016;base;
Pr_E_MAR_01;Prot. Est. Marlengo 01;malles;2,872;34,355;signal_mainline;0;0;0;350,98;11,133554;46,669131;base;
Pr_I_MAR_91;Prot. Int. N3 Marlengo 91;malles;2,972;34,455;signal_mainline;0;0;0;353,13;11,134166;46,668343;base;
PL04;PL04;;2,998;34,481;PL;0;0;0;353,69;11,134379;46,668156;base;
Pa_E_MAR_81;Part. Est. Marlengo 81;merano;3,022;34,505;signal_mainline;0;0;0;354,2;11,13458;46,667995;base;
Pr_I_MAR_71;Prot. Int. N2 Marlengo 71;malles;3,182;34,665;signal_mainline;0;0;0;357,64;11,135881;46,666866;base;
PL05;PL05 Marlengo;;3,205;34,688;PL;0;0;0;358,13;11,136069;46,666707;base;
Pa_I_MAR_61;Part. Int. N1 Marlengo 61;merano;3,226;34,709;signal_mainline;0;0;0;358,59;11,136242;46,666552;base;
Pr_I_MAR_51;Prot. Int. N1 Marlengo 51;malles;3,285;34,768;signal_mainline;0;0;0;359,85;11,136745;46,666158;base;
Dev_MAR_01;Deviatoio Marlengo 01;;3,335;34,818;SC;0;0;0;360,93;11,137334;46,665766;base;
Pa_I_MAR_31;Part. Int. N2 Marlengo 31;merano;3,413;34,896;signal_mainline;0;0;0;362,61;11,13792;46,665308;base;
MAR;Marlengo;;3,566;35,049;LdS;1;0;0;365,89;11,138816;46,664111;base;
Pa_I_MAR_32;Part. Int. Marlengo 32;malles;3,647;35,13;signal_mainline;0;0;0;367,64;11,139198;46,663457;base;
Dev_MAR_02;Deviatoio Marlengo 02;;3,739;35,222;SC;0;0;0;369,61;11,139717;46,662718;base;
PL06;PL06;;3,753;35,236;PL;0;0;0;369,91;11,139792;46,662589;base;
Pr_I_MAR_52;Prot. Int. N1 Marlengo 52;merano;3,784;35,267;signal_mainline;0;0;0;370;11,139949;46,662328;base;
Pa_E_MAR_62;Part. Est. Marlengo 62;malles;3,976;35,459;signal_mainline;0;0;0;370;11,140529;46,660669;base;
PL06bis;PL06bis;;3,999;35,482;PL;0;0;0;370;11,140517;46,660462;base;
Pr_I_MAR_72;Prot. Int. N2 Marlengo 72;merano;4,022;35,505;signal_mainline;0;0;0;370;11,140504;46,660255;base;
Pr_E_MAR_02;Prot. Est. Marlengo 02;merano;4,126;35,609;signal_mainline;0;0;0;370;11,140183;46,659355;base;
IG_MAR;Imbocco Galleria di Marlengo;;4,311;35,794;Tunnel;0;0;0;371,29;11,138291;46,658418;base;
SG_MAR;Sbocco Galleria di Marlengo;;4,909;36,392;Tunnel;0;0;0;385,55;11,136772;46,662307;base;
